linkID,Direction,timeStr,speedExpectation,speedStandardDeviation,linkDegree,linkLength
81,1,Mond07:00:00,5.52,0.78,3,464.54
81,-1,Mond07:00:00,6.28,0.55,3,464.54
81,1,Mond09:00:00,5.53,0.67,3,464.54
81,-1,Mond14:30:00,6.39,0.15,3,464.54
81,-1,Mond20:00:00,5.56,0.42,3,464.54
81,-1,Mond20:30:00,5.83,0.36,3,464.54
81,1,Mond21:30:00,6.54,0.1,3,464.54
81,-1,Mond21:30:00,7.19,0.21,3,464.54
81,-1,Mond22:30:00,6.69,0.68,3,464.54
81,1,Tues06:30:00,7.68,0.83,3,464.54
81,-1,Tues06:30:00,5.2,1.02,3,464.54
81,1,Tues07:30:00,3.22,1.45,3,464.54
81,1,Tues08:00:00,6.54,0.56,3,464.54
81,-1,Tues15:30:00,6.3,0.49,3,464.54
81,1,Tues19:30:00,6.04,0.23,3,464.54
81,-1,Tues21:00:00,5.64,0.79,3,464.54
81,1,Tues21:30:00,6.54,0.3,3,464.54
81,-1,Tues23:00:00,7.23,0.19,3,464.54
81,1,Wedn06:30:00,7.68,0.06,3,464.54
81,-1,Wedn06:30:00,5.67,1.17,3,464.54
81,1,Wedn07:30:00,5.38,0.26,3,464.54
81,1,Wedn08:00:00,5.46,0.2,3,464.54
81,1,Wedn09:00:00,6.54,0.18,3,464.54
81,1,Wedn12:00:00,5.76,0.24,3,464.54
81,1,Wedn13:00:00,6.32,0.21,3,464.54
81,1,Wedn17:00:00,3.52,1.31,3,464.54
81,-1,Wedn19:00:00,5.52,0.57,3,464.54
81,-1,Wedn19:30:00,6.09,0.15,3,464.54
81,-1,Wedn20:00:00,4.71,0.62,3,464.54
81,-1,Wedn21:00:00,6.53,1.03,3,464.54
81,-1,Wedn21:30:00,6.96,0.13,3,464.54
81,1,Wedn22:00:00,6.82,0.81,3,464.54
81,-1,Wedn22:00:00,6.52,0.31,3,464.54
81,-1,Thur00:00:00,7.62,0.34,3,464.54
81,1,Thur07:30:00,5.46,0.07,3,464.54
81,1,Thur12:00:00,5.28,0.42,3,464.54
81,1,Thur17:00:00,6.35,1.11,3,464.54
81,-1,Frid07:00:00,5.22,0.21,3,464.54
81,1,Frid10:00:00,5.31,0.54,3,464.54
81,1,Frid15:30:00,7.5,0.73,3,464.54
81,1,Frid17:00:00,5.6,0.81,3,464.54
81,-1,Frid20:30:00,6.52,0.2,3,464.54
