linkID,taxiID,startTravelTime,travelTime
14,MMC8000GPSANDASYN051113-37620-00000000,2013-01-07 00:59:50,60.0
14,MMC8000GPSANDASYN051113-37711-00000000,2013-01-07 00:38:44,53.0
14,MMC8000GPSANDASYN051113-37904-00000000,2013-01-07 04:18:05,47.0
14,MMC8000GPSANDASYN051113-20029-00000000,2013-01-07 00:09:44,52.0
14,MMC8000GPSANDASYN051113-37844-00000000,2013-01-07 04:41:37,46.0
14,MMC8000GPSANDASYN051113-37796-00000000,2013-01-07 01:18:19,104.0
14,MMC8000GPSANDASYN051113-37796-00000000,2013-01-07 01:58:29,55.0
14,MMC8000GPSANDASYN051113-38101-00000000,2013-01-07 00:15:26,46.0
14,MMC8000GPSANDASYN051113-19530-00000000,2013-01-07 07:38:33,57.0
14,MMC8000GPSANDASYN051113-38242-00000000,2013-01-07 11:31:20,63.0
14,MMC8000GPSANDASYN051113-18073-00000000,2013-01-07 11:18:09,71.0
14,MMC8000GPSANDASYN051113-38353-00000000,2013-01-07 10:39:12,4.0
14,MMC8000GPSANDASYN051113-38094-00000000,2013-01-07 08:34:16,81.0
14,MMC8000GPSANDASYN051113-38006-00000000,2013-01-07 10:09:37,74.0
14,MMC8000GPSANDASYN051113-39625-00000000,2013-01-07 09:21:54,105.0
14,MMC8000GPSANDASYN051113-38264-00000000,2013-01-07 11:54:16,65.0
14,MMC8000GPSANDASYN051113-37998-00000000,2013-01-07 09:09:25,11.0
14,MMC8000GPSANDASYN051113-37846-00000000,2013-01-07 10:34:54,44.0
14,MMC8000GPSANDASYN051113-19652-00000000,2013-01-07 16:44:56,96.0
14,MMC8000GPSANDASYN051113-37763-00000000,2013-01-07 14:22:41,102.0
14,MMC8000GPSANDASYN051113-38212-00000000,2013-01-07 15:57:46,75.0
14,MMC8000GPSANDASYN051113-37998-00000000,2013-01-07 14:19:48,74.0
14,MMC8000GPSANDASYN051113-38200-00000000,2013-01-07 17:40:56,121.0
